topic,question,option1,option2,option3,option4,answer
Java,What is the default value of a boolean variable in Java?,true,false,null,undefined,2
Java,Which keyword is used to declare a constant in Java?,const,final,static,constant,2
Java,What is the purpose of the 'this' keyword in Java?,To refer to the current object,To refer to the parent class,To refer to the static context,To refer to the method,1
Java,Which of the following is a valid constructor in Java?,public MyClass(){},MyClass(){},MyClass(){};public,public void MyClass(){},1
Java,What is the output of the following code: System.out.println(1 + 2 + "3");?,123,33,6,Error,1
Java,Which of the following is not a valid access modifier in Java?,public,private,protected,internal,4
Java,What is the purpose of the 'instanceof' operator?,To check the type of an object,To create an instance,To compare two objects,To cast an object,1
Java,Which method is used to compare two strings in Java?,compare(),equals(),==,compareTo(),2
Java,What is the purpose of the 'default' keyword in an interface?,To provide a default implementation,To define abstract methods,To create constants,To declare variables,1
Java,Which of the following is a valid way to create a thread in Java?,new Thread(),Thread t = new Thread(),Thread t = new Thread(); t.start(),All of the above,4
Java,What is the purpose of the 'break' statement in Java?,To exit a loop,To skip an iteration,To terminate a program,To continue a loop,1
Java,Which of the following is a valid way to declare an array in Java?,int[] arr = new int[5];,int arr[] = new int[5];,Both A and B,Neither A nor B,3
Java,What is the output of the following code: System.out.println(5 + 5 + "5");?,55,105,Error,5,1
Java,Which of the following is a wrapper class for int?,Integer,Int,Number,Float,1
Java,What is the purpose of the 'continue' statement in Java?,To skip the current iteration of a loop,To exit a loop,To terminate a program,To continue a program,1
Java,Which of the following is not a valid loop in Java?,for,while,do-while,repeat,4
Java,What is the purpose of the 'return' statement in Java?,To exit a method and return a value,To terminate a program,To skip an iteration,To create a loop,1
Java,Which of the following is a valid way to handle exceptions in Java?,try-catch,throw-try,catch-throw,try-throw,1
Java,What is the output of the following code: System.out.println(10 / 3);?,3,3.0,3.333,Error,1
Java,Which of the following is a valid way to declare a method in Java?,public void myMethod(){},void myMethod(){},public myMethod(){},All of the above,1
Java,What is the purpose of the 'synchronized' block in Java?,To ensure thread safety,To create a method,To define a variable,To declare a class,1
Java,Which of the following is a valid way to create an instance of a class?,MyClass obj = new MyClass();,MyClass obj;,MyClass obj = MyClass();,All of the above,1
Java,What is the output of the following code: System.out.println("Hello" + " World");?,Hello World,HelloWorld,Error,Hello,1
Java,Which of the following is a valid way to declare a multi-dimensional array in Java?,int[][] arr = new int[3][4];,int arr[][] = new int[3][4];,Both A and B,Neither A nor B,3
Java,What is the purpose of the 'volatile' keyword in Java?,To ensure visibility of changes to variables across threads,To create constants,To define methods,To declare variables,1
Java,Which of the following is a valid way to declare a static method in Java?,public static void myMethod(){},static void myMethod(){},Both A and B,Neither A nor B,3
Java,What is the output of the following code: System.out.println(5 + 5 + 5);?,15,55,Error,5,1
Java,Which of the following is a valid way to declare a final variable in Java?,final int x = 10;,int final x = 10;,final x = 10;,int x = final 10;,1
Java,What is the purpose of the 'assert' keyword in Java?,To perform debugging,To create a constant,To define methods,To declare variables,1
Java,Which of the following is a valid way to declare an interface in Java?,public interface MyInterface{},interface MyInterface{},Both A and B,Neither A nor B,3
Java,What is the output of the following code: System.out.println(10 % 3);?,1,3,0,Error,1
Java,Which of the following is a valid way to declare a constructor in Java?,public MyClass(){},MyClass(){},Both A and B,Neither A nor B,3
Java,What is the purpose of the 'super()' constructor in Java?,To call the parent class constructor,To create an instance,To define a method,To declare a variable,1
Java,Which of the following is a valid way to declare a package in Java?,package myPackage;,import myPackage;,Both A and B,Neither A nor B,1
Java,What is the output of the following code: System.out.println("5" + 5);?,55,10,Error,5,1
Java,Which of the following is a valid way to declare a synchronized method in Java?,public synchronized void myMethod(){},synchronized void myMethod(){},Both A and B,Neither A nor B,3
Java,What is the purpose of the 'throw' keyword in Java?,To explicitly throw an exception,To create a method,To define a class,To declare a variable,1
Java,Which of the following is a valid way to declare a lambda expression in Java?,(x) -> x + 1,x -> x + 1,(x) -> { return x + 1; },All of the above,4
Java,What is the output of the following code: System.out.println(5 == 5);?,true,false,Error,5,1
Java,Which of the following is a valid way to declare a generic class in Java?,class MyClass<T>{},class MyClass<T extends Number>{},Both A and B,Neither A nor B,3
Java,What is the purpose of the 'finally' block in Java?,To execute code after try-catch,To handle exceptions,To create a method,To declare a variable,1
Java,Which of the following is a valid way to declare a nested class in Java?,class OuterClass{ class InnerClass{} },class OuterClass{ static class InnerClass{} },Both A and B,Neither A nor B,3
Java,What is the output of the following code: System.out.println(5 != 5);?,true,false,Error,5,2
Java,Which of the following is a valid way to declare a method that returns a value in Java?,public int myMethod(){},void myMethod(){},public myMethod(){},All of the above,1
Java,What is the purpose of the 'instanceof' operator in Java?,To check if an object is an instance of a class,To create an instance,To compare two objects,To cast an object,1
Java,Which of the following is a valid way to declare a switch statement in Java?,switch(expression) { case 1: break; },switch(expression) { case 1: break; default: },Both A and B,Neither A nor B,3
Java,What is the output of the following code: System.out.println(5 + "5");?,55,10,Error,5,1
Java,Which of the following is a valid way to declare a method with variable arguments in Java?,public void myMethod(int... nums){},public void myMethod(int[] nums){},Both A and B,Neither A nor B,1
Java,What is the purpose of the 'enum' keyword in Java?,To define a set of named constants,To create a class,To define a method,To declare a variable,1
